xflr5 v6.53

Plane name :        A20 E20 R-20
Polar name :        T1-15.0 m/s-VLM2-Inviscid
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.727771   0.271868   0.000000   0.271868  -0.023685  -0.046276  -1.605552   0.008716   0.008716   15.0000     0.0770
  -44.000     0.000  -2.685623   0.265567   0.000000   0.265567  -0.023461  -0.046319  -1.600287   0.008534   0.008534   15.0000     0.0756
  -43.000     0.000  -2.642182   0.258893   0.000000   0.258893  -0.023136  -0.046346  -1.593676   0.008320   0.008320   15.0000     0.0741
  -42.000     0.000  -2.597444   0.251873   0.000000   0.251873  -0.022709  -0.046357  -1.585728   0.008074   0.008074   15.0000     0.0727
  -41.000     0.000  -2.551411   0.244535   0.000000   0.244535  -0.022181  -0.046355  -1.576453   0.007796   0.007796   15.0000     0.0712
  -40.000     0.000  -2.504084   0.236908   0.000000   0.236908  -0.021554  -0.046340  -1.565861   0.007486   0.007486   15.0000     0.0696
  -39.000     0.000  -2.455467   0.229023   0.000000   0.229023  -0.020826  -0.046314  -1.553967   0.007144   0.007144   15.0000     0.0680
  -38.000     0.000  -2.405566   0.220909   0.000000   0.220909  -0.020001  -0.046280  -1.540783   0.006771   0.006771   15.0000     0.0664
  -37.000     0.000  -2.354390   0.212596   0.000000   0.212596  -0.019078  -0.046237  -1.526327   0.006367   0.006367   15.0000     0.0647
  -36.000     0.000  -2.301946   0.204117   0.000000   0.204117  -0.018058  -0.046188  -1.510616   0.005933   0.005933   15.0000     0.0629
  -35.000     0.000  -2.248247   0.195502   0.000000   0.195502  -0.016944  -0.046135  -1.493669   0.005469   0.005469   15.0000     0.0611
  -34.000     0.000  -2.193306   0.186784   0.000000   0.186784  -0.015735  -0.046078  -1.475506   0.004975   0.004975   15.0000     0.0592
  -33.000     0.000  -2.137138   0.177994   0.000000   0.177994  -0.014435  -0.046019  -1.456151   0.004454   0.004454   15.0000     0.0572
  -32.000     0.000  -2.079760   0.169164   0.000000   0.169164  -0.013043  -0.045960  -1.435625   0.003905   0.003905   15.0000     0.0551
  -31.000     0.000  -2.021191   0.160326   0.000000   0.160326  -0.011563  -0.045902  -1.413956   0.003329   0.003329   15.0000     0.0529
  -30.000     0.000  -1.961452   0.151512   0.000000   0.151512  -0.009995  -0.045847  -1.391167   0.002727   0.002727   15.0000     0.0506
