xflr5 v6.53

Plane name :        A-20 E-20 R-20
Polar name :        T1-25.0 m/s-VLM2-Inviscid
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.000     0.000  -0.290187   0.032018   0.000000   0.032018   0.050018   0.051996   0.335076  -0.015372  -0.015372   25.0000     0.5049
    0.000     0.000  -0.212155   0.028600   0.000000   0.028600   0.047734   0.051694   0.372298  -0.014982  -0.014982   25.0000     0.6530
    1.000     0.000  -0.133945   0.025928   0.000000   0.025928   0.045413   0.051392   0.408917  -0.014585  -0.014585   25.0000     0.9742
    2.000     0.000  -0.055621   0.024006   0.000000   0.024006   0.043056   0.051089   0.444890  -0.014182  -0.014182   25.0000     2.2009
    3.000     0.000   0.022754   0.022838   0.000000   0.022838   0.040667   0.050785   0.480172  -0.013774  -0.013774   25.0000    -5.0236
    4.000     0.000   0.101115   0.022427   0.000000   0.022427   0.038249   0.050480   0.514721  -0.013362  -0.013362   25.0000    -1.0499
    5.000     0.000   0.179400   0.022769   0.000000   0.022769   0.035804   0.050175   0.548494  -0.012947  -0.012947   25.0000    -0.5461
    6.000     0.000   0.257545   0.023862   0.000000   0.023862   0.033336   0.049869   0.581451  -0.012529  -0.012529   25.0000    -0.3485
    7.000     0.000   0.335485   0.025700   0.000000   0.025700   0.030848   0.049563   0.613551  -0.012111  -0.012111   25.0000    -0.2430
    8.000     0.000   0.413159   0.028275   0.000000   0.028275   0.028342   0.049257   0.644755  -0.011691  -0.011691   25.0000    -0.1773
    9.000     0.000   0.490503   0.031576   0.000000   0.031576   0.025822   0.048950   0.675025  -0.011272  -0.011272   25.0000    -0.1325
   10.000     0.000   0.567457   0.035590   0.000000   0.035590   0.023291   0.048642   0.704324  -0.010855  -0.010855   25.0000    -0.0999
   11.000     0.000   0.643958   0.040303   0.000000   0.040303   0.020751   0.048333   0.732617  -0.010439  -0.010439   25.0000    -0.0751
   12.000     0.000   0.719948   0.045698   0.000000   0.045698   0.018207   0.048023   0.759869  -0.010027  -0.010027   25.0000    -0.0556
   13.000     0.000   0.795367   0.051756   0.000000   0.051756   0.015660   0.047712   0.786046  -0.009618  -0.009618   25.0000    -0.0398
   14.000     0.000   0.870157   0.058455   0.000000   0.058455   0.013115   0.047399   0.811118  -0.009214  -0.009214   25.0000    -0.0268
   15.000     0.000   0.944261   0.065772   0.000000   0.065772   0.010574   0.047084   0.835053  -0.008815  -0.008815   25.0000    -0.0158
   16.000     0.000   1.017625   0.073683   0.000000   0.073683   0.008040   0.046766   0.857822  -0.008422  -0.008422   25.0000    -0.0065
   17.000     0.000   1.090194   0.082160   0.000000   0.082160   0.005517   0.046446   0.879398  -0.008037  -0.008037   25.0000     0.0017
   18.000     0.000   1.161916   0.091174   0.000000   0.091174   0.003007   0.046123   0.899754  -0.007659  -0.007659   25.0000     0.0088
   19.000     0.000   1.232741   0.100695   0.000000   0.100695   0.000514   0.045796   0.918865  -0.007289  -0.007289   25.0000     0.0150
   20.000     0.000   1.302619   0.110691   0.000000   0.110691  -0.001960   0.045465   0.936708  -0.006928  -0.006928   25.0000     0.0207
   21.000     0.000   1.371505   0.121128   0.000000   0.121128  -0.004411   0.045130   0.953262  -0.006577  -0.006577   25.0000     0.0257
   22.000     0.000   1.439351   0.131972   0.000000   0.131972  -0.006837   0.044789   0.968506  -0.006235  -0.006235   25.0000     0.0303
   23.000     0.000   1.506117   0.143185   0.000000   0.143185  -0.009234   0.044443   0.982421  -0.005905  -0.005905   25.0000     0.0345
   24.000     0.000   1.571761   0.154731   0.000000   0.154731  -0.011599   0.044091   0.994992  -0.005585  -0.005585   25.0000     0.0383
   25.000     0.000   1.636243   0.166570   0.000000   0.166570  -0.013930   0.043732   1.006201  -0.005278  -0.005278   25.0000     0.0419
   26.000     0.000   1.699528   0.178663   0.000000   0.178663  -0.016224   0.043366   1.016036  -0.004982  -0.004982   25.0000     0.0452
   27.000     0.000   1.761582   0.190969   0.000000   0.190969  -0.018478   0.042992   1.024485  -0.004699  -0.004699   25.0000     0.0483
   28.000     0.000   1.822371   0.203446   0.000000   0.203446  -0.020689   0.042609   1.031538  -0.004428  -0.004428   25.0000     0.0512
   29.000     0.000   1.881868   0.216053   0.000000   0.216053  -0.022855   0.042217   1.037185  -0.004171  -0.004171   25.0000     0.0539
   30.000     0.000   1.940044   0.228747   0.000000   0.228747  -0.024973   0.041815   1.041420  -0.003926  -0.003926   25.0000     0.0565
   31.000     0.000   1.996875   0.241484   0.000000   0.241484  -0.027040   0.041402   1.044239  -0.003696  -0.003696   25.0000     0.0590
   32.000     0.000   2.052339   0.254221   0.000000   0.254221  -0.029054   0.040979   1.045636  -0.003479  -0.003479   25.0000     0.0613
   33.000     0.000   2.106416   0.266914   0.000000   0.266914  -0.031012   0.040544   1.045611  -0.003276  -0.003276   25.0000     0.0636
   34.000     0.000   2.159089   0.279520   0.000000   0.279520  -0.032913   0.040096   1.044164  -0.003087  -0.003087   25.0000     0.0658
   35.000     0.000   2.210344   0.291995   0.000000   0.291995  -0.034753   0.039635   1.041296  -0.002912  -0.002912   25.0000     0.0678
   36.000     0.000   2.260167   0.304294   0.000000   0.304294  -0.036530   0.039160   1.037011  -0.002751  -0.002751   25.0000     0.0699
   37.000     0.000   2.308550   0.316376   0.000000   0.316376  -0.038243   0.038671   1.031314  -0.002603  -0.002603   25.0000     0.0718
   38.000     0.000   2.355485   0.328197   0.000000   0.328197  -0.039889   0.038167   1.024213  -0.002470  -0.002470   25.0000     0.0737
   39.000     0.000   2.400968   0.339714   0.000000   0.339714  -0.041466   0.037648   1.015715  -0.002350  -0.002350   25.0000     0.0755
   40.000     0.000   2.444996   0.350886   0.000000   0.350886  -0.042972   0.037112   1.005831  -0.002243  -0.002243   25.0000     0.0773
   41.000     0.000   2.487569   0.361673   0.000000   0.361673  -0.044406   0.036560   0.994574  -0.002150  -0.002150   25.0000     0.0791
   42.000     0.000   2.528691   0.372034   0.000000   0.372034  -0.045766   0.035990   0.981956  -0.002069  -0.002069   25.0000     0.0808
   43.000     0.000   2.568367   0.381929   0.000000   0.381929  -0.047049   0.035402   0.967994  -0.002002  -0.002002   25.0000     0.0825
   44.000     0.000   2.606602   0.391322   0.000000   0.391322  -0.048255   0.034796   0.952704  -0.001946  -0.001946   25.0000     0.0842
   45.000     0.000   2.643408   0.400175   0.000000   0.400175  -0.049382   0.034172   0.936104  -0.001902  -0.001902   25.0000     0.0858


