xflr5 v6.53

Plane name :        A20 E20 R20
Polar name :        T1-20.0 m/s-VLM2-Inviscid
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -45.000     0.000  -2.599710   0.391857   0.000000   0.391857  -0.071167  -0.054734  -1.623477   0.015368   0.015368   20.0000     0.0778
  -44.000     0.000  -2.563274   0.384002   0.000000   0.384002  -0.072243  -0.055099  -1.618147   0.015724   0.015724   20.0000     0.0762
  -43.000     0.000  -2.525476   0.375598   0.000000   0.375598  -0.073252  -0.055438  -1.611451   0.016068   0.016068   20.0000     0.0746
  -42.000     0.000  -2.486306   0.366679   0.000000   0.366679  -0.074193  -0.055751  -1.603396   0.016401   0.016401   20.0000     0.0730
  -41.000     0.000  -2.445754   0.357280   0.000000   0.357280  -0.075066  -0.056038  -1.593993   0.016721   0.016721   20.0000     0.0713
  -40.000     0.000  -2.403815   0.347437   0.000000   0.347437  -0.075868  -0.056300  -1.583253   0.017028   0.017028   20.0000     0.0696
  -39.000     0.000  -2.360485   0.337187   0.000000   0.337187  -0.076599  -0.056536  -1.571189   0.017321   0.017321   20.0000     0.0679
  -38.000     0.000  -2.315762   0.326568   0.000000   0.326568  -0.077258  -0.056748  -1.557816   0.017601   0.017601   20.0000     0.0661
  -37.000     0.000  -2.269648   0.315619   0.000000   0.315619  -0.077845  -0.056935  -1.543150   0.017865   0.017865   20.0000     0.0642
  -36.000     0.000  -2.222144   0.304379   0.000000   0.304379  -0.078357  -0.057098  -1.527208   0.018114   0.018114   20.0000     0.0623
  -35.000     0.000  -2.173256   0.292889   0.000000   0.292889  -0.078796  -0.057238  -1.510012   0.018348   0.018348   20.0000     0.0603
  -34.000     0.000  -2.122992   0.281189   0.000000   0.281189  -0.079160  -0.057355  -1.491580   0.018567   0.018567   20.0000     0.0583
  -33.000     0.000  -2.071361   0.269320   0.000000   0.269320  -0.079449  -0.057449  -1.471936   0.018768   0.018768   20.0000     0.0562
  -32.000     0.000  -2.018377   0.257325   0.000000   0.257325  -0.079662  -0.057521  -1.451104   0.018954   0.018954   20.0000     0.0540
  -31.000     0.000  -1.964054   0.245244   0.000000   0.245244  -0.079800  -0.057572  -1.429110   0.019123   0.019123   20.0000     0.0516
  -30.000     0.000  -1.908408   0.233118   0.000000   0.233118  -0.079862  -0.057602  -1.405979   0.019274   0.019274   20.0000     0.0492
  -29.000     0.000  -1.851460   0.220991   0.000000   0.220991  -0.079848  -0.057612  -1.381740   0.019408   0.019408   20.0000     0.0467
  -28.000     0.000  -1.793231   0.208902   0.000000   0.208902  -0.079757  -0.057602  -1.356422   0.019525   0.019525   20.0000     0.0440
  -27.000     0.000  -1.733747   0.196893   0.000000   0.196893  -0.079591  -0.057573  -1.330058   0.019625   0.019625   20.0000     0.0411
  -26.000     0.000  -1.673032   0.185005   0.000000   0.185005  -0.079350  -0.057525  -1.302677   0.019707   0.019707   20.0000     0.0380
  -25.000     0.000  -1.611117   0.173277   0.000000   0.173277  -0.079033  -0.057460  -1.274315   0.019771   0.019771   20.0000     0.0348
  -24.000     0.000  -1.548032   0.161749   0.000000   0.161749  -0.078641  -0.057378  -1.245005   0.019817   0.019817   20.0000     0.0313
  -23.000     0.000  -1.483811   0.150461   0.000000   0.150461  -0.078175  -0.057279  -1.214783   0.019846   0.019846   20.0000     0.0275
  -22.000     0.000  -1.418489   0.139448   0.000000   0.139448  -0.077634  -0.057164  -1.183687   0.019857   0.019857   20.0000     0.0233
  -21.000     0.000  -1.352105   0.128749   0.000000   0.128749  -0.077021  -0.057034  -1.151753   0.019851   0.019851   20.0000     0.0188
  -20.000     0.000  -1.284697   0.118400   0.000000   0.118400  -0.076335  -0.056889  -1.119021   0.019827   0.019827   20.0000     0.0138
  -19.000     0.000  -1.216307   0.108434   0.000000   0.108434  -0.075577  -0.056730  -1.085531   0.019786   0.019786   20.0000     0.0082
  -18.000     0.000  -1.146980   0.098886   0.000000   0.098886  -0.074748  -0.056558  -1.051323   0.019728   0.019728   20.0000     0.0020
  -17.000     0.000  -1.076759   0.089786   0.000000   0.089786  -0.073850  -0.056373  -1.016440   0.019654   0.019654   20.0000    -0.0050
  -16.000     0.000  -1.005694   0.081167   0.000000   0.081167  -0.072883  -0.056176  -0.980923   0.019562   0.019562   20.0000    -0.0130
  -15.000     0.000  -0.933832   0.073056   0.000000   0.073056  -0.071849  -0.055967  -0.944816   0.019455   0.019455   20.0000    -0.0222
  -14.000     0.000  -0.861225   0.065481   0.000000   0.065481  -0.070748  -0.055747  -0.908163   0.019331   0.019331   20.0000    -0.0330
  -13.000     0.000  -0.787923   0.058469   0.000000   0.058469  -0.069583  -0.055517  -0.871008   0.019192   0.019192   20.0000    -0.0458
  -12.000     0.000  -0.713981   0.052042   0.000000   0.052042  -0.068354  -0.055278  -0.833398   0.019038   0.019038   20.0000    -0.0613
