xflr5 v6.53

Plane name :        A-20 E0 R-20
Polar name :        T1-10.0 m/s-VLM2-Inviscid
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.000     0.000  -0.052783   0.029323   0.000000   0.029323   0.059205   0.051441  -0.070746  -0.018084  -0.018084   10.0000    -0.1060
    0.000     0.000   0.022981   0.027410   0.000000   0.027410   0.056782   0.051113  -0.029988  -0.017677  -0.017677   10.0000     0.5343
    1.000     0.000   0.098796   0.026250   0.000000   0.026250   0.054320   0.050785   0.010404  -0.017259  -0.017259   10.0000     0.1919
    2.000     0.000   0.174601   0.025845   0.000000   0.025845   0.051821   0.050456   0.050380  -0.016832  -0.016832   10.0000     0.1468
    3.000     0.000   0.250332   0.026194   0.000000   0.026194   0.049288   0.050129   0.089892  -0.016397  -0.016397   10.0000     0.1290
    4.000     0.000   0.325926   0.027296   0.000000   0.027296   0.046724   0.049802   0.128890  -0.015954  -0.015954   10.0000     0.1195
    5.000     0.000   0.401321   0.029147   0.000000   0.029147   0.044133   0.049475   0.167329  -0.015506  -0.015506   10.0000     0.1136
    6.000     0.000   0.476453   0.031738   0.000000   0.031738   0.041517   0.049150   0.205160  -0.015052  -0.015052   10.0000     0.1096
    7.000     0.000   0.551261   0.035061   0.000000   0.035061   0.038880   0.048826   0.242338  -0.014593  -0.014593   10.0000     0.1067
    8.000     0.000   0.625684   0.039105   0.000000   0.039105   0.036225   0.048503   0.278817  -0.014131  -0.014131   10.0000     0.1046
    9.000     0.000   0.699660   0.043856   0.000000   0.043856   0.033556   0.048182   0.314554  -0.013667  -0.013667   10.0000     0.1029
   10.000     0.000   0.773131   0.049298   0.000000   0.049298   0.030874   0.047861   0.349503  -0.013202  -0.013202   10.0000     0.1016
   11.000     0.000   0.846037   0.055414   0.000000   0.055414   0.028185   0.047542   0.383624  -0.012736  -0.012736   10.0000     0.1006
   12.000     0.000   0.918320   0.062182   0.000000   0.062182   0.025491   0.047223   0.416874  -0.012270  -0.012270   10.0000     0.0997
   13.000     0.000   0.989925   0.069582   0.000000   0.069582   0.022795   0.046906   0.449213  -0.011806  -0.011806   10.0000     0.0991
   14.000     0.000   1.060795   0.077589   0.000000   0.077589   0.020100   0.046589   0.480602  -0.011345  -0.011345   10.0000     0.0985
   15.000     0.000   1.130877   0.086177   0.000000   0.086177   0.017411   0.046272   0.511001  -0.010887  -0.010887   10.0000     0.0981
   16.000     0.000   1.200118   0.095319   0.000000   0.095319   0.014730   0.045956   0.540375  -0.010433  -0.010433   10.0000     0.0977
   17.000     0.000   1.268467   0.104984   0.000000   0.104984   0.012060   0.045640   0.568687  -0.009984  -0.009984   10.0000     0.0975
