xflr5 v6.53

Plane name :        A-20 E0 R20
Polar name :        T1-15.0 m/s-VLM2-Inviscid
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.000     0.000  -0.060060   0.022187   0.000000   0.022187  -0.065707   0.049266  -0.060190   0.019944   0.019944   15.0000    -0.0238
    0.000     0.000   0.019434   0.024533   0.000000   0.024533  -0.069419   0.049610  -0.024486   0.020796   0.020796   15.0000     0.5212
    1.000     0.000   0.098837   0.027573   0.000000   0.027573  -0.073135   0.049968   0.010859   0.021626   0.021626   15.0000     0.1904
    2.000     0.000   0.178089   0.031302   0.000000   0.031302  -0.076853   0.050340   0.045800   0.022432   0.022432   15.0000     0.1545
    3.000     0.000   0.257130   0.035710   0.000000   0.035710  -0.080566   0.050726   0.080295   0.023211   0.023211   15.0000     0.1408
    4.000     0.000   0.335899   0.040788   0.000000   0.040788  -0.084270   0.051124   0.114302   0.023962   0.023962   15.0000     0.1336
    5.000     0.000   0.414337   0.046523   0.000000   0.046523  -0.087961   0.051532   0.147781   0.024684   0.024684   15.0000     0.1292
    6.000     0.000   0.492385   0.052900   0.000000   0.052900  -0.091634   0.051949   0.180689   0.025374   0.025374   15.0000     0.1262
    7.000     0.000   0.569986   0.059902   0.000000   0.059902  -0.095285   0.052375   0.212987   0.026032   0.026032   15.0000     0.1242
    8.000     0.000   0.647084   0.067512   0.000000   0.067512  -0.098909   0.052807   0.244636   0.026656   0.026656   15.0000     0.1227
    9.000     0.000   0.723621   0.075707   0.000000   0.075707  -0.102502   0.053244   0.275596   0.027244   0.027244   15.0000     0.1215
   10.000     0.000   0.799544   0.084467   0.000000   0.084467  -0.106060   0.053685   0.305831   0.027796   0.027796   15.0000     0.1207
   11.000     0.000   0.874799   0.093767   0.000000   0.093767  -0.109578   0.054127   0.335304   0.028310   0.028310   15.0000     0.1200
   12.000     0.000   0.949334   0.103581   0.000000   0.103581  -0.113052   0.054569   0.363978   0.028785   0.028785   15.0000     0.1196
   13.000     0.000   1.023099   0.113882   0.000000   0.113882  -0.116477   0.055010   0.391818   0.029221   0.029221   15.0000     0.1192
   14.000     0.000   1.096045   0.124641   0.000000   0.124641  -0.119850   0.055447   0.418791   0.029615   0.029615   15.0000     0.1189
   15.000     0.000   1.168125   0.135827   0.000000   0.135827  -0.123167   0.055879   0.444864   0.029968   0.029968   15.0000     0.1188
   16.000     0.000   1.239292   0.147408   0.000000   0.147408  -0.126423   0.056304   0.470005   0.030279   0.030279   15.0000     0.1187
   17.000     0.000   1.309504   0.159352   0.000000   0.159352  -0.129614   0.056720   0.494184   0.030548   0.030548   15.0000     0.1186
   18.000     0.000   1.378718   0.171623   0.000000   0.171623  -0.132737   0.057125   0.517370   0.030773   0.030773   15.0000     0.1187
   19.000     0.000   1.446895   0.184186   0.000000   0.184186  -0.135787   0.057517   0.539536   0.030955   0.030955   15.0000     0.1187
   20.000     0.000   1.513995   0.197005   0.000000   0.197005  -0.138762   0.057894   0.560655   0.031093   0.031093   15.0000     0.1189
   21.000     0.000   1.579985   0.210041   0.000000   0.210041  -0.141656   0.058255   0.580701   0.031187   0.031187   15.0000     0.1190
   22.000     0.000   1.644829   0.223257   0.000000   0.223257  -0.144468   0.058597   0.599649   0.031237   0.031237   15.0000     0.1192
   23.000     0.000   1.708497   0.236613   0.000000   0.236613  -0.147193   0.058919   0.617477   0.031243   0.031243   15.0000     0.1194
   24.000     0.000   1.770958   0.250070   0.000000   0.250070  -0.149828   0.059218   0.634163   0.031205   0.031205   15.0000     0.1197
   25.000     0.000   1.832186   0.263587   0.000000   0.263587  -0.152370   0.059493   0.649686   0.031124   0.031124   15.0000     0.1199
   26.000     0.000   1.892156   0.277124   0.000000   0.277124  -0.154816   0.059743   0.664027   0.031000   0.031000   15.0000     0.1203
   27.000     0.000   1.950845   0.290640   0.000000   0.290640  -0.157163   0.059964   0.677170   0.030834   0.030834   15.0000     0.1206
   28.000     0.000   2.008234   0.304094   0.000000   0.304094  -0.159407   0.060156   0.689097   0.030625   0.030625   15.0000     0.1209
   29.000     0.000   2.064303   0.317445   0.000000   0.317445  -0.161547   0.060316   0.699795   0.030376   0.030376   15.0000     0.1213
   30.000     0.000   2.119039   0.330651   0.000000   0.330651  -0.163579   0.060443   0.709251   0.030086   0.030086   15.0000     0.1217
   31.000     0.000   2.172426   0.343673   0.000000   0.343673  -0.165502   0.060535   0.717452   0.029756   0.029756   15.0000     0.1221
   32.000     0.000   2.224456   0.356468   0.000000   0.356468  -0.167312   0.060592   0.724389   0.029388   0.029388   15.0000     0.1226
   33.000     0.000   2.275118   0.368997   0.000000   0.368997  -0.169008   0.060610   0.730054   0.028983   0.028983   15.0000     0.1230
   34.000     0.000   2.324407   0.381221   0.000000   0.381221  -0.170587   0.060589   0.734439   0.028541   0.028541   15.0000     0.1235
   35.000     0.000   2.372319   0.393100   0.000000   0.393100  -0.172048   0.060527   0.737540   0.028065   0.028065   15.0000     0.1240
   36.000     0.000   2.418851   0.404596   0.000000   0.404596  -0.173389   0.060423   0.739352   0.027555   0.027555   15.0000     0.1245
   37.000     0.000   2.464006   0.415671   0.000000   0.415671  -0.174608   0.060275   0.739874   0.027012   0.027012   15.0000     0.1250
   38.000     0.000   2.507785   0.426289   0.000000   0.426289  -0.175704   0.060084   0.739104   0.026439   0.026439   15.0000     0.1255
   39.000     0.000   2.550192   0.436415   0.000000   0.436415  -0.176674   0.059846   0.737043   0.025837   0.025837   15.0000     0.1260
   40.000     0.000   2.591236   0.446014   0.000000   0.446014  -0.177520   0.059562   0.733695   0.025207   0.025207   15.0000     0.1266
   41.000     0.000   2.630925   0.455052   0.000000   0.455052  -0.178238   0.059231   0.729062   0.024552   0.024552   15.0000     0.1272
   42.000     0.000   2.669269   0.463499   0.000000   0.463499  -0.178828   0.058851   0.723152   0.023872   0.023872   15.0000     0.1277
   43.000     0.000   2.706282   0.471324   0.000000   0.471324  -0.179291   0.058423   0.715970   0.023170   0.023170   15.0000     0.1283
   44.000     0.000   2.741979   0.478497   0.000000   0.478497  -0.179624   0.057944   0.707527   0.022448   0.022448   15.0000     0.1289
   45.000     0.000   2.776374   0.484992   0.000000   0.484992  -0.179827   0.057416   0.697831   0.021708   0.021708   15.0000     0.1295


