xflr5 v6.53

Plane name :        A20 E-20 R0
Polar name :        T1-30.0 m/s-VLM2-Inviscid
Freestream speed :  30.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.000     0.000  -0.278231   0.026261   0.000000   0.026261  -0.004826  -0.050397   0.318333   0.001841   0.001841   30.0000     0.5026
    0.000     0.000  -0.201535   0.021938   0.000000   0.021938   0.020051  -0.050148   0.356948  -0.006128  -0.006128   30.0000     0.6568
    1.000     0.000  -0.121268   0.032241   0.000000   0.032241   0.045090  -0.050165   0.394965  -0.014139  -0.014139   30.0000     1.0295
    2.000     0.000  -0.038227   0.057331   0.000000   0.057331   0.070262  -0.050450   0.432339  -0.022172  -0.022172   30.0000     3.0682
    3.000     0.000   0.046785   0.097322   0.000000   0.097322   0.095537  -0.051003   0.469023  -0.030212  -0.030212   30.0000    -2.3447
    4.000     0.000   0.132960   0.152285   0.000000   0.152285   0.120882  -0.051825   0.504974  -0.038241  -0.038241   30.0000    -0.7677
    5.000     0.000   0.219484   0.222244   0.000000   0.222244   0.146267  -0.052915   0.540147  -0.046242  -0.046242   30.0000    -0.4301
    6.000     0.000   0.305542   0.307178   0.000000   0.307178   0.171662  -0.054271   0.574500  -0.054196  -0.054196   30.0000    -0.2838
    7.000     0.000   0.390323   0.407018   0.000000   0.407018   0.197035  -0.055892   0.607990  -0.062088  -0.062088   30.0000    -0.2024
    8.000     0.000   0.473017   0.521652   0.000000   0.521652   0.222355  -0.057773   0.640578  -0.069900  -0.069900   30.0000    -0.1507
    9.000     0.000   0.552820   0.650922   0.000000   0.650922   0.247592  -0.059910   0.672222  -0.077615  -0.077615   30.0000    -0.1149
   10.000     0.000   0.628937   0.794624   0.000000   0.794624   0.272715  -0.062299   0.702886  -0.085217  -0.085217   30.0000    -0.0886
   11.000     0.000   0.700586   0.952511   0.000000   0.952511   0.297693  -0.064933   0.732530  -0.092689  -0.092689   30.0000    -0.0684
   12.000     0.000   0.766994   1.124290   0.000000   1.124290   0.322496  -0.067807   0.761120  -0.100016  -0.100016   30.0000    -0.0523
   13.000     0.000   0.827406   1.309627   0.000000   1.309627   0.347093  -0.070912   0.788620  -0.107181  -0.107181   30.0000    -0.0390
   14.000     0.000   0.881084   1.508145   0.000000   1.508145   0.371455  -0.074241   0.814997  -0.114170  -0.114170   30.0000    -0.0278
   15.000     0.000   0.927310   1.719425   0.000000   1.719425   0.395552  -0.077785   0.840218  -0.120967  -0.120967   30.0000    -0.0179
   16.000     0.000   0.965388   1.943010   0.000000   1.943010   0.419354  -0.081534   0.864254  -0.127559  -0.127559   30.0000    -0.0091
   17.000     0.000   0.994645   2.178400   0.000000   2.178400   0.442833  -0.085478   0.887074  -0.133932  -0.133932   30.0000    -0.0009
   18.000     0.000   1.014435   2.425063   0.000000   2.425063   0.465960  -0.089605   0.908651  -0.140073  -0.140073   30.0000     0.0068
   19.000     0.000   1.024141   2.682426   0.000000   2.682426   0.488707  -0.093905   0.928959  -0.145968  -0.145968   30.0000     0.0144
   20.000     0.000   1.023174   2.949884   0.000000   2.949884   0.511046  -0.098365   0.947973  -0.151606  -0.151606   30.0000     0.0221
   21.000     0.000   1.010977   3.226798   0.000000   3.226798   0.532949  -0.102973   0.965669  -0.156976  -0.156976   30.0000     0.0301
   22.000     0.000   0.987027   3.512498   0.000000   3.512498   0.554391  -0.107714   0.982027  -0.162068  -0.162068   30.0000     0.0388
   23.000     0.000   0.950837   3.806285   0.000000   3.806285   0.575345  -0.112576   0.997025  -0.166870  -0.166870   30.0000     0.0485
   24.000     0.000   0.901953   4.107433   0.000000   4.107433   0.595785  -0.117544   1.010647  -0.171374  -0.171374   30.0000     0.0597
   25.000     0.000   0.839962   4.415187   0.000000   4.415187   0.615687  -0.122604   1.022875  -0.175572  -0.175572   30.0000     0.0734
   26.000     0.000   0.764490   4.728773   0.000000   4.728773   0.635026  -0.127740   1.033694  -0.179456  -0.179456   30.0000     0.0908
   27.000     0.000   0.675201   5.047392   0.000000   5.047392   0.653779  -0.132938   1.043092  -0.183019  -0.183019   30.0000     0.1143
   28.000     0.000   0.571803   5.370229   0.000000   5.370229   0.671923  -0.138180   1.051056  -0.186256  -0.186256   30.0000     0.1484
   29.000     0.000   0.454046   5.696448   0.000000   5.696448   0.689436  -0.143453   1.057577  -0.189161  -0.189161   30.0000     0.2039
   30.000     0.000   0.321721   6.025202   0.000000   6.025202   0.706297  -0.148739   1.062648  -0.191730  -0.191730   30.0000     0.3116
   31.000     0.000   0.174665   6.355629   0.000000   6.355629   0.722484  -0.154022   1.066262  -0.193959  -0.193959   30.0000     0.6176
   32.000     0.000   0.012761   6.686858   0.000000   6.686858   0.737979  -0.159286   1.068414  -0.195846  -0.195846   30.0000     9.0495
   33.000     0.000  -0.164067   7.018010   0.000000   7.018010   0.752762  -0.164514   1.069102  -0.197390  -0.197390   30.0000    -0.7500
   34.000     0.000  -0.355846   7.348200   0.000000   7.348200   0.766815  -0.169691   1.068325  -0.198589  -0.198589   30.0000    -0.3669
   35.000     0.000  -0.562559   7.676542   0.000000   7.676542   0.780121  -0.174798   1.066085  -0.199444  -0.199444   30.0000    -0.2454
   36.000     0.000  -0.784143   8.002147   0.000000   8.002147   0.792665  -0.179821   1.062383  -0.199956  -0.199956   30.0000    -0.1856
   37.000     0.000  -1.020489   8.324130   0.000000   8.324130   0.804430  -0.184743   1.057224  -0.200126  -0.200126   30.0000    -0.1498
   38.000     0.000  -1.271441   8.641609   0.000000   8.641609   0.815403  -0.189548   1.050615  -0.199958  -0.199958   30.0000    -0.1261
   39.000     0.000  -1.536801   8.953709   0.000000   8.953709   0.825570  -0.194219   1.042564  -0.199455  -0.199455   30.0000    -0.1090
   40.000     0.000  -1.816323   9.259565   0.000000   9.259565   0.834918  -0.198742   1.033080  -0.198621  -0.198621   30.0000    -0.0963
   41.000     0.000  -2.109719   9.558322   0.000000   9.558322   0.843437  -0.203100   1.022175  -0.197463  -0.197463   30.0000    -0.0863
   42.000     0.000  -2.416655   9.849141   0.000000   9.849141   0.851115  -0.207279   1.009863  -0.195985  -0.195985   30.0000    -0.0783
   43.000     0.000  -2.736754  10.131198   0.000000  10.131198   0.857944  -0.211264   0.996157  -0.194195  -0.194195   30.0000    -0.0717
   44.000     0.000  -3.069600  10.403686   0.000000  10.403686   0.863915  -0.215041   0.981076  -0.192101  -0.192101   30.0000    -0.0662
   45.000     0.000  -3.414733  10.665822   0.000000  10.665822   0.869022  -0.218596   0.964637  -0.189710  -0.189710   30.0000    -0.0616


